perovskite,E_g,Cs,FA,MA,Pb,Sn,I,Br
Cs0.025FA0.475MA0.5Pb0.5Sn0.5I3,1.27,0.025,0.475,0.5,0.5,0.5,3.0,0.0
Cs0.05FA0.45MA0.5Pb0.5Sn0.5I3,1.26,0.05,0.45,0.5,0.5,0.5,3.0,0.0
Cs0.05FA0.5MA0.45Pb0.5Sn0.5I3,1.22,0.05,0.5,0.45,0.5,0.5,3.0,0.0
Cs0.05FA0.68MA0.26Pb0.75Sn0.25Br0.4I2.6,1.36,0.05,0.68,0.26,0.75,0.25,2.6,0.4
Cs0.05FA0.79MA0.16Pb0.25Sn0.75Br0.5I2.5,1.3,0.05,0.79,0.16,0.25,0.75,2.5,0.5
Cs0.05FA0.79MA0.16Pb0.58Sn0.42Br0.52I2.48,1.38,0.05,0.79,0.16,0.58,0.42,2.48,0.52
Cs0.05FA0.79MA0.16Pb0.5Sn0.5Br0.5I2.5,1.31,0.05,0.79,0.16,0.5,0.5,2.5,0.5
Cs0.05FA0.79MA0.16Pb0.664Sn0.336Br0.52I2.48,1.38,0.05,0.79,0.16,0.664,0.336,2.48,0.52
Cs0.05FA0.79MA0.16Pb0.748Sn0.252Br0.52I2.48,1.38,0.05,0.79,0.16,0.748,0.252,2.48,0.52
Cs0.05FA0.79MA0.16Pb0.75Sn0.25Br0.5I2.5,1.34,0.05,0.79,0.16,0.75,0.25,2.5,0.5
Cs0.05FA0.79MA0.16Pb0.832Sn0.168Br0.52I2.48,1.38,0.05,0.79,0.16,0.832,0.168,2.48,0.52
Cs0.05FA0.79MA0.16Pb0.916Sn0.084Br0.52I2.48,1.38,0.05,0.79,0.16,0.916,0.084,2.48,0.52
Cs0.05FA0.79MA0.16SnBr0.5I2.5,1.45,0.05,0.79,0.16,0.0,1.0,2.5,0.5
Cs0.15FA0.85Pb0.375Sn0.625I3,1.24,0.15,0.85,0.0,0.375,0.625,3.0,0.0
Cs0.17FA0.83Pb0.3Sn0.7I3,1.25,0.17,0.83,0.0,0.3,0.7,3.0,0.0
Cs0.17FA0.83Pb0.4Sn0.6I3,1.25,0.17,0.83,0.0,0.4,0.6,3.0,0.0
Cs0.17FA0.83Pb0.5Sn0.5I3,1.26,0.17,0.83,0.0,0.5,0.5,3.0,0.0
Cs0.17FA0.83Pb0.6Sn0.4I3,1.27,0.17,0.83,0.0,0.6,0.4,3.0,0.0
Cs0.17FA0.83Pb0.7Sn0.3I3,1.32,0.17,0.83,0.0,0.7,0.3,3.0,0.0
Cs0.17FA0.83Pb0.8Sn0.2I3,1.34,0.17,0.83,0.0,0.8,0.2,3.0,0.0
Cs0.17FA0.83Pb0.95Sn0.05I3,1.45,0.17,0.83,0.0,0.95,0.05,3.0,0.0
Cs0.17FA0.83Pb0.98Sn0.02I3,1.51,0.17,0.83,0.0,0.98,0.02,3.0,0.0
Cs0.17FA0.83Pb0.995Sn0.005I3,1.52,0.17,0.83,0.0,0.995,0.005,3.0,0.0
Cs0.17FA0.83Pb0.99999Sn0.00001I3,1.51,0.17,0.83,0.0,0.99999,1e-05,3.0,0.0
Cs0.17FA0.83Pb0.9999Sn0.0001I3,1.52,0.17,0.83,0.0,0.9999,0.0001,3.0,0.0
Cs0.17FA0.83Pb0.999Sn0.001I3,1.51,0.17,0.83,0.0,0.999,0.001,3.0,0.0
Cs0.17FA0.83Pb0.99Sn0.01I3,1.52,0.17,0.83,0.0,0.99,0.01,3.0,0.0
Cs0.17FA0.83Pb0.9Sn0.1I3,1.41,0.17,0.83,0.0,0.9,0.1,3.0,0.0
Cs0.1FA0.75MA0.15Pb0.25Sn0.75Br0.5I2.5,1.29,0.1,0.75,0.15,0.25,0.75,2.5,0.5
Cs0.1FA0.75MA0.15Pb0.5Sn0.5Br0.5I2.5,1.31,0.1,0.75,0.15,0.5,0.5,2.5,0.5
Cs0.1FA0.75MA0.15Pb0.75Sn0.25Br0.5I2.5,1.36,0.1,0.75,0.15,0.75,0.25,2.5,0.5
Cs0.1FA0.75MA0.15SnBr0.5I2.5,1.44,0.1,0.75,0.15,0.0,1.0,2.5,0.5
Cs0.1MA0.9Pb0.25Sn0.75I3,1.26,0.1,0.0,0.9,0.25,0.75,3.0,0.0
Cs0.1MA0.9Pb0.5Sn0.5I3,1.28,0.1,0.0,0.9,0.5,0.5,3.0,0.0
Cs0.1MA0.9Pb0.75Sn0.25I3,1.39,0.1,0.0,0.9,0.75,0.25,3.0,0.0
Cs0.1MA0.9Pb0.7Sn0.255I3,1.39,0.1,0.0,0.9,0.7,0.255,3.0,0.0
Cs0.1MA0.9SnI3,1.2,0.1,0.0,0.9,0.0,1.0,3.0,0.0
Cs0.25FA0.75Pb0.37Sn0.6255I3,1.24,0.25,0.75,0.0,0.37,0.6255,3.0,0.0
Cs0.25FA0.75Pb0.5Sn0.5I3,1.2,0.25,0.75,0.0,0.5,0.5,3.0,0.0
Cs0.2FA0.66MA0.14Pb0.25Sn0.75Br0.5I2.5,1.28,0.2,0.66,0.14,0.25,0.75,2.5,0.5
Cs0.2FA0.66MA0.14Pb0.5Sn0.5Br0.5I2.5,1.31,0.2,0.66,0.14,0.5,0.5,2.5,0.5
Cs0.2FA0.66MA0.14Pb0.75Sn0.25Br0.5I2.5,1.38,0.2,0.66,0.14,0.75,0.25,2.5,0.5
Cs0.2FA0.66MA0.14SnBr0.5I2.5,1.42,0.2,0.66,0.14,0.0,1.0,2.5,0.5
Cs0.2FA0.8Pb0.25Sn0.75I3,1.2,0.2,0.8,0.0,0.25,0.75,3.0,0.0
Cs0.2FA0.8Pb0.3Sn0.7I3,1.35,0.2,0.8,0.0,0.3,0.7,3.0,0.0
Cs0.2FA0.8Pb0.5Sn0.5I3,1.3,0.2,0.8,0.0,0.5,0.5,3.0,0.0
Cs0.2FA0.8Pb0.75Sn0.25I3,1.35,0.2,0.8,0.0,0.75,0.25,3.0,0.0
Cs0.2FA0.8SnI3,1.2,0.2,0.8,0.0,0.0,1.0,3.0,0.0
Cs0.2MA0.8Pb0.5Sn0.5I3,1.3,0.2,0.0,0.8,0.5,0.5,3.0,0.0
Cs0.3FA0.7Pb0.7Sn0.3I3,1.3,0.3,0.7,0.0,0.7,0.3,3.0,0.0
Cs0.3MA0.7Pb0.5Sn0.5I3,1.28,0.3,0.0,0.7,0.5,0.5,3.0,0.0
CsPb0.1Sn0.9I3,1.22,1.0,0.0,0.0,0.1,0.9,3.0,0.0
CsPb0.3Sn0.7I3,1.29,1.0,0.0,0.0,0.3,0.7,3.0,0.0
CsPb0.6Sn0.4I3,1.38,1.0,0.0,0.0,0.6,0.4,3.0,0.0
CsPb0.9Sn0.1Br2I,1.79,1.0,0.0,0.0,0.9,0.1,1.0,2.0
CsSnBr0.5I2.5,1.375,1.0,0.0,0.0,0.0,1.0,2.5,0.5
CsSnBr0.6I2.4,1.4,1.0,0.0,0.0,0.0,1.0,2.4,0.6
CsSnBr2.5I0.5,2.36,1.0,0.0,0.0,0.0,1.0,0.5,2.5
CsSnBr2I,1.63,1.0,0.0,0.0,0.0,1.0,1.0,2.0
CsSnBr3,1.8,1.0,0.0,0.0,0.0,1.0,0.0,3.0
CsSnBrI2,1.37,1.0,0.0,0.0,0.0,1.0,2.0,1.0
CsSnI3,1.3,1.0,0.0,0.0,0.0,1.0,3.0,0.0
FA0.1MA0.9Pb0.9Sn0.1I3,1.44,0.0,0.1,0.9,0.9,0.1,3.0,0.0
FA0.25MA0.75Pb0.75Sn0.25I3,1.33,0.0,0.25,0.75,0.75,0.25,3.0,0.0
FA0.25MA0.75SnI3,1.28,0.0,0.25,0.75,0.0,1.0,3.0,0.0
FA0.33MA0.66Pb0.66Sn0.33I3,1.3,0.0,0.33,0.66,0.66,0.33,3.0,0.0
FA0.5MA0.5Pb0.5Sn0.5I3,1.25,0.0,0.5,0.5,0.5,0.5,3.0,0.0
FA0.5MA0.5Pb0.75Sn0.25I3,1.33,0.0,0.5,0.5,0.75,0.25,3.0,0.0
FA0.5MA0.5SnI3,1.38,0.0,0.5,0.5,0.0,1.0,3.0,0.0
FA0.6MA0.4Pb0.4Sn0.6Br0.12I2.88,1.26,0.0,0.6,0.4,0.4,0.6,2.88,0.12
FA0.6MA0.4Pb0.4Sn0.6Br0.18I2.82,1.272,0.0,0.6,0.4,0.4,0.6,2.82,0.18
FA0.6MA0.4Pb0.4Sn0.6Br0.24I2.76,1.28,0.0,0.6,0.4,0.4,0.6,2.76,0.24
FA0.6MA0.4Pb0.4Sn0.6Br0.3I2.7,1.33,0.0,0.6,0.4,0.4,0.6,2.7,0.3
FA0.6MA0.4Pb0.4Sn0.6Br0.48I2.52,1.32,0.0,0.6,0.4,0.4,0.6,2.52,0.48
FA0.6MA0.4Pb0.4Sn0.6I3,1.25,0.0,0.6,0.4,0.4,0.6,3.0,0.0
FA0.75MA0.25Pb0.75Sn0.25I3,1.33,0.0,0.75,0.25,0.75,0.25,3.0,0.0
FA0.75MA0.25SnI3,1.36,0.0,0.75,0.25,0.0,1.0,3.0,0.0
FA0.7MA0.3Pb0.5Sn0.5I3,1.22,0.0,0.7,0.3,0.5,0.5,3.0,0.0
FA0.7MA0.3Pb0.7Sn0.3I3,1.26,0.0,0.7,0.3,0.7,0.3,3.0,0.0
FAPb0.125Sn0.875I3,1.25,0.0,1.0,0.0,0.125,0.875,3.0,0.0
FAPb0.25Sn0.75I3,1.21,0.0,1.0,0.0,0.25,0.75,3.0,0.0
FAPb0.2Sn0.8I3,1.29,0.0,1.0,0.0,0.2,0.8,3.0,0.0
FAPb0.375Sn0.625I3,1.21,0.0,1.0,0.0,0.375,0.625,3.0,0.0
FAPb0.4Sn0.6I3,1.29,0.0,1.0,0.0,0.4,0.6,3.0,0.0
FAPb0.5Sn0.5I3,1.17,0.0,1.0,0.0,0.5,0.5,3.0,0.0
FAPb0.625Sn0.375I3,1.24,0.0,1.0,0.0,0.625,0.375,3.0,0.0
FAPb0.75Sn0.25I3,1.31,0.0,1.0,0.0,0.75,0.25,3.0,0.0
FAPb0.7Sn0.3I3,1.34,0.0,1.0,0.0,0.7,0.3,3.0,0.0
FAPb0.875Sn0.125I3,1.33,0.0,1.0,0.0,0.875,0.125,3.0,0.0
FAPb0.9Sn0.1I3,1.43,0.0,1.0,0.0,0.9,0.1,3.0,0.0
FASn1.0I3,1.4,0.0,1.0,0.0,0.0,1.0,3.0,0.0
FASnBr0.24I2.76,1.47,0.0,1.0,0.0,0.0,1.0,2.76,0.24
FASnBr0.5I2.5,1.53,0.0,1.0,0.0,0.0,1.0,2.5,0.5
FASnBr0.75I2.25,1.63,0.0,1.0,0.0,0.0,1.0,2.25,0.75
FASnBr3,1.6,0.0,1.0,0.0,0.0,1.0,0.0,3.0
FASnBrI2,1.55,0.0,1.0,0.0,0.0,1.0,2.0,1.0
FASnI3,1.4,0.0,1.0,0.0,0.0,1.0,3.0,0.0
MAPb0.125Sn0.875I3,1.18,0.0,0.0,1.0,0.125,0.875,3.0,0.0
MAPb0.25Sn0.75Br1.2I1.8,1.34,0.0,0.0,1.0,0.25,0.75,1.8,1.2
MAPb0.25Sn0.75I3,1.25,0.0,0.0,1.0,0.25,0.75,3.0,0.0
MAPb0.2Sn0.8Br0.4I2.6,1.26,0.0,0.0,1.0,0.2,0.8,2.6,0.4
MAPb0.2Sn0.8I3,1.189,0.0,0.0,1.0,0.2,0.8,3.0,0.0
MAPb0.375Sn0.625I3,1.2,0.0,0.0,1.0,0.375,0.625,3.0,0.0
MAPb0.38Sn0.62I3,1.22,0.0,0.0,1.0,0.38,0.62,3.0,0.0
MAPb0.3Sn0.7I3,1.17,0.0,0.0,1.0,0.3,0.7,3.0,0.0
MAPb0.4Sn0.6Br0.4I2.6,1.26,0.0,0.0,1.0,0.4,0.6,2.6,0.4
MAPb0.4Sn0.6Br0.6I2.4,1.24,0.0,0.0,1.0,0.4,0.6,2.4,0.6
MAPb0.4Sn0.6Br0.9I2.1,1.25,0.0,0.0,1.0,0.4,0.6,2.1,0.9
MAPb0.4Sn0.6Br1.2I1.8,1.26,0.0,0.0,1.0,0.4,0.6,1.8,1.2
MAPb0.4Sn0.6Br1.5I1.5,1.27,0.0,0.0,1.0,0.4,0.6,1.5,1.5
MAPb0.4Sn0.6Br1.8I1.2,1.29,0.0,0.0,1.0,0.4,0.6,1.2,1.8
MAPb0.4Sn0.6Br2.1I0.9,1.3,0.0,0.0,1.0,0.4,0.6,0.9,2.1
MAPb0.4Sn0.6Br2.4I0.6,1.32,0.0,0.0,1.0,0.4,0.6,0.6,2.4
MAPb0.4Sn0.6I3,1.27,0.0,0.0,1.0,0.4,0.6,3.0,0.0
MAPb0.50Sn0.50Br1.2I1.8,1.48,0.0,0.0,1.0,0.5,0.5,1.8,1.2
MAPb0.5Sn0.5Br0.6I2.4,1.35,0.0,0.0,1.0,0.5,0.5,2.4,0.6
MAPb0.5Sn0.5I3,1.22,0.0,0.0,1.0,0.5,0.5,3.0,0.0
MAPb0.625Sn0.375I3,1.25,0.0,0.0,1.0,0.625,0.375,3.0,0.0
MAPb0.65Sn0.35I3,1.25,0.0,0.0,1.0,0.65,0.35,3.0,0.0
MAPb0.6Sn0.4Br0.4I2.6,1.26,0.0,0.0,1.0,0.6,0.4,2.6,0.4
MAPb0.6Sn0.4I3,1.39,0.0,0.0,1.0,0.6,0.4,3.0,0.0
MAPb0.75Sn0.25Br0.3I2.7,1.43,0.0,0.0,1.0,0.75,0.25,2.7,0.3
MAPb0.75Sn0.25Br0.6I2.4,1.48,0.0,0.0,1.0,0.75,0.25,2.4,0.6
MAPb0.75Sn0.25Br0.9I2.1,1.53,0.0,0.0,1.0,0.75,0.25,2.1,0.9
MAPb0.75Sn0.25Br1.2I1.8,1.59,0.0,0.0,1.0,0.75,0.25,1.8,1.2
MAPb0.75Sn0.25Br1.5I1.5,1.65,0.0,0.0,1.0,0.75,0.25,1.5,1.5
MAPb0.75Sn0.25Br1.8I1.2,1.73,0.0,0.0,1.0,0.75,0.25,1.2,1.8
MAPb0.75Sn0.25Br2.1I0.9,1.8,0.0,0.0,1.0,0.75,0.25,0.9,2.1
MAPb0.75Sn0.25Br2.4I0.6,1.9,0.0,0.0,1.0,0.75,0.25,0.6,2.4
MAPb0.75Sn0.25Br2.7I0.3,1.99,0.0,0.0,1.0,0.75,0.25,0.3,2.7
MAPb0.75Sn0.25Br3,2.03,0.0,0.0,1.0,0.75,0.25,0.0,3.0
MAPb0.75Sn0.25I3,1.24,0.0,0.0,1.0,0.75,0.25,3.0,0.0
MAPb0.7Sn0.255I3,1.3,0.0,0.0,1.0,0.7,0.255,3.0,0.0
MAPb0.7Sn0.3I3,1.2,0.0,0.0,1.0,0.7,0.3,3.0,0.0
MAPb0.85Sn0.15I3,1.28,0.0,0.0,1.0,0.85,0.15,3.0,0.0
MAPb0.875Sn0.125I3,1.42,0.0,0.0,1.0,0.875,0.125,3.0,0.0
MAPb0.8Sn0.2Br0.4I2.6,1.26,0.0,0.0,1.0,0.8,0.2,2.6,0.4
MAPb0.8Sn0.2I3,1.5,0.0,0.0,1.0,0.8,0.2,3.0,0.0
MAPb0.95Sn0.05I3,1.5,0.0,0.0,1.0,0.95,0.05,3.0,0.0
MAPb0.9Sn0.1I3,1.31,0.0,0.0,1.0,0.9,0.1,3.0,0.0
MASnBr0.42I2.58,1.4,0.0,0.0,1.0,0.0,1.0,2.58,0.42
MASnBr0.6I2.4,1.36,0.0,0.0,1.0,0.0,1.0,2.4,0.6
MASnBr1.2I1.8,1.6,0.0,0.0,1.0,0.0,1.0,1.8,1.2
MASnBr1.5I1.5,1.57,0.0,0.0,1.0,0.0,1.0,1.5,1.5
MASnBr2.64I0.36,1.83,0.0,0.0,1.0,0.0,1.0,0.36,2.64
MASnBr2I,1.77,0.0,0.0,1.0,0.0,1.0,1.0,2.0
MASnBr3,2.08,0.0,0.0,1.0,0.0,1.0,0.0,3.0
MASnBrI2,1.46,0.0,0.0,1.0,0.0,1.0,2.0,1.0
MASnI3,1.34,0.0,0.0,1.0,0.0,1.0,3.0,0.0
